발전기명,년월일,설비용량(MW),01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
화순 풍력 발전소,2017-04-02,16,5831.976,10157.04,10610.496,5695.776,8536.416,10837.224,11726.832,7981.2,1928.544,1157.268,1277.388,1156.56,13.26,0,0,0,28.752,395.34,478.248,498.84,475.536,526.428,1027.728,1193.616
화순 풍력 발전소,2017-04-03,16,3591.588,4330.416,2526.792,1853.82,1059.876,1504.68,421.764,270.324,150.912,2027.568,2331.108,2743.548,1353.444,1037.196,1547.184,1348.44,648.012,2088.336,2318.712,1465.68,1878.264,4464.18,4600.908,6495.48
화순 풍력 발전소,2017-04-04,16,3543.66,2852.628,2444.256,6143.856,6570.48,3105.984,3017.532,3213,2400.9,2320.356,2303.76,3935.472,5053.62,1404.12,2503.98,6288.732,9005.964,9471.204,12806.292,12601.632,7617.3,12813.144,11072.64,10658.016
화순 풍력 발전소,2017-04-05,16,4141.14,4900.176,2734.548,568.572,2.604,0,0,238.428,876.948,1844.004,1141.476,1707.888,1503.768,3049.248,2335.908,1150.848,1515.792,1467.888,1896.9,953.208,632.82,119.436,124.644,244.008
화순 풍력 발전소,2017-04-06,16,56.004,60.552,38.388,629.448,3136.152,5543.532,4201.86,5435.628,5268.516,5033.676,2357.784,1487.976,1118.652,2644.644,1383.252,1516.452,473.4,481.092,554.556,110.148,1094.052,1118.064,1839.612,2483.448
화순 풍력 발전소,2017-04-07,16,2121.432,284.088,812.736,2053.248,1164.264,1000.776,5016.672,5241.996,2253.792,1581.804,2149.428,2439.732,829.272,4891.284,1136.244,573.732,1093.704,2824.752,1990.644,3763.656,2878.26,3870.96,4784.52,4771.464
화순 풍력 발전소,2017-04-08,16,4353.396,3999.816,4009.62,3017.712,3432.444,3357.756,3682.5,3896.016,3447.996,4963.236,5538.336,5701.044,5899.056,6341.004,5401.536,5577.756,6692.904,5407.524,4370.16,3644.58,1945.584,1015.776,64.032,23.796
화순 풍력 발전소,2017-04-09,16,0,0,0,0,0,0,0,86.916,143.76,1139.34,1149.12,1146.324,13.248,0,0,0,0,0,0,0,0,1.632,46.356,421.5
화순 풍력 발전소,2017-04-10,16,1191.108,518.928,391.02,429.576,1198.524,796.152,762.948,1263.408,826.488,1218.516,1157.076,573.48,0,0,0,217.872,455.58,472.884,831.96,43.836,53.784,421.632,716.28,3200.832
화순 풍력 발전소,2017-04-11,16,3917.664,6179.436,6038.712,5674.236,6729.744,5025.084,3692.34,3422.34,5131.536,2386.416,1263.756,1246.584,14.196,0,0,0,0,3.588,103.812,171.816,0,0,0,0
